method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,313.04943755394225,0.8172104800689474,-18.473779296875,-3.443603515625,-17.473779296875,-2.443603515625,12.706328125,10.644522705078124
EPEC_PARM,6,274.6351949254513,0.7849095839029873,-18.473779296875,-3.443603515625,-17.473779296875,-2.443603515625,12.706328125,10.644522705078124
GenARM,6,143.99126204419687,0.5831751122382344,-18.473779296875,-3.443603515625,-17.473779296875,-2.443603515625,12.706328125,10.644522705078124
PARM,6,143.96600618871454,0.587941034506465,-18.473779296875,-3.443603515625,-17.473779296875,-2.443603515625,12.706328125,10.644522705078124
