method,alpha_help,alpha_harm,help,harm,safe
EPEC_GenARM,0.0,1.0,4.448173828125,-12.9528125,12.9528125
EPEC_GenARM,0.2,0.8,5.32613037109375,-9.3055859375,9.3055859375
EPEC_GenARM,0.4,0.6,5.2041357421875,-4.463387451171875,4.463387451171875
EPEC_GenARM,0.6,0.4,6.81416015625,1.407734375,-1.407734375
EPEC_GenARM,0.8,0.2,8.640556640625,8.26943359375,-8.26943359375
EPEC_GenARM,1.0,0.0,10.43045654296875,16.586640625,-16.586640625
EPEC_PARM,0.0,1.0,2.862060546875,-9.42048828125,9.42048828125
EPEC_PARM,0.2,0.8,4.6094921875,-9.596181640625,9.596181640625
EPEC_PARM,0.4,0.6,4.840517578125,-5.37125,5.37125
EPEC_PARM,0.6,0.4,5.10816650390625,4.50607177734375,-4.50607177734375
EPEC_PARM,0.8,0.2,8.19272705078125,14.6435302734375,-14.6435302734375
EPEC_PARM,1.0,0.0,9.078330078125,18.0601806640625,-18.0601806640625
GenARM,0.0,1.0,-2.443603515625,-10.649605712890626,10.649605712890626
GenARM,0.2,0.8,-0.044273681640625,-4.916545486450195,4.916545486450195
GenARM,0.4,0.6,3.2116650390625,5.0870703125,-5.0870703125
GenARM,0.6,0.4,4.92477294921875,10.8002734375,-10.8002734375
GenARM,0.8,0.2,5.3462353515625,13.73646484375,-13.73646484375
GenARM,1.0,0.0,5.2885791015625,13.68609375,-13.68609375
PARM,0.0,1.0,-1.915322265625,-10.58341796875,10.58341796875
PARM,0.2,0.8,-0.7223406982421875,-7.3457421875,7.3457421875
PARM,0.4,0.6,0.89220458984375,-1.46896484375,1.46896484375
PARM,0.6,0.4,3.74033203125,7.811171875,-7.811171875
PARM,0.8,0.2,4.4883447265625,12.15453125,-12.15453125
PARM,1.0,0.0,4.947548828125,15.2891015625,-15.2891015625
