method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,218.7850825340465,0.7819188107742544,-17.33784912109375,-3.443603515625,-16.33784912109375,-2.443603515625,13.2259375,8.8188330078125
EPEC_PARM,6,233.42948751369715,0.8206837821387939,-17.33784912109375,-3.443603515625,-16.33784912109375,-2.443603515625,13.2259375,8.8188330078125
GenARM,6,134.00661883470372,0.61412438722613,-17.33784912109375,-3.443603515625,-16.33784912109375,-2.443603515625,13.2259375,8.8188330078125
PARM,6,134.43424303187135,0.6139505109214066,-17.33784912109375,-3.443603515625,-16.33784912109375,-2.443603515625,13.2259375,8.8188330078125
