method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,327.94626198829417,0.8163585875679754,-19.0601806640625,-3.443603515625,-18.0601806640625,-2.443603515625,12.9528125,10.43045654296875
EPEC_PARM,6,254.82112913660404,0.7489085182164897,-19.0601806640625,-3.443603515625,-18.0601806640625,-2.443603515625,12.9528125,10.43045654296875
GenARM,6,149.14563557327344,0.5886661558735405,-19.0601806640625,-3.443603515625,-18.0601806640625,-2.443603515625,12.9528125,10.43045654296875
PARM,6,148.8865893953681,0.5917528621551288,-19.0601806640625,-3.443603515625,-18.0601806640625,-2.443603515625,12.9528125,10.43045654296875
