method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,240.3807887529373,0.7765722608934139,-17.176875,-3.443603515625,-16.176875,-2.443603515625,12.7819921875,10.141884765625
EPEC_PARM,6,253.80658907146568,0.8254899275276761,-17.176875,-3.443603515625,-16.176875,-2.443603515625,12.7819921875,10.141884765625
GenARM,6,132.5916822485025,0.5847753977032853,-17.176875,-3.443603515625,-16.176875,-2.443603515625,12.7819921875,10.141884765625
PARM,6,133.0834846583724,0.5898219886581825,-17.176875,-3.443603515625,-16.176875,-2.443603515625,12.7819921875,10.141884765625
