method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,329.3714181865737,0.8158742734746453,-19.694462890625,-3.443603515625,-18.694462890625,-2.443603515625,12.8582421875,10.7087109375
EPEC_PARM,6,271.7173206543267,0.755828550450048,-19.694462890625,-3.443603515625,-18.694462890625,-2.443603515625,12.8582421875,10.7087109375
GenARM,6,154.72087414107875,0.5875400767761452,-19.694462890625,-3.443603515625,-18.694462890625,-2.443603515625,12.8582421875,10.7087109375
PARM,6,154.20894818738702,0.5907209092117296,-19.694462890625,-3.443603515625,-18.694462890625,-2.443603515625,12.8582421875,10.7087109375
