line_label,method,setting_name,tau,k,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,6,329.17852672642465,0.8152863416594393,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,6,328.29835513978446,0.8143941332117476,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,6,335.6701512437105,0.8093175165184302,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,6,289.9204234127045,0.7838040877078024,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,6,270.7296185717404,0.7543402236348848,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,6,261.79803614115116,0.7431666491716364,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
GenARM baseline,GenARM,baseline,,,6,154.9777084631443,0.5859370016928406,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
PARM baseline,PARM,baseline,,,6,153.21087214401962,0.5889768056479393,-19.694462890625,-3.4106396484375,-18.694462890625,-2.4106396484375,12.9528125,10.7087109375
